Listing No.,Price,Superhost,Host listings count,Host identity verified,Distance,Accommodation type 1,Accommodation type 2,Accommodation type 3,Accommodation type 4,Entire home/apartment,Private room,Shared room,Accommodates,Bathrooms,Bedrooms,Real bed,Wireless Internet,Breakfast,Free parking,Instant bookable,Cancellation policy (Moderate plus strict),Smoking allowed,Required guest's profile picture,Required guest's phone verification,Reviews per year,Review scores for overall rating
188,160.00,0,1,1,6.19414366,0,0,1,0,1,0,0,6,3,3,1,1,0,1,0,1,0,0,0,12.84,98
189,100.00,1,3,1,5.926006761,1,0,0,0,1,0,0,2,1,1,1,1,0,1,0,0,0,0,0,6.84,95
190,20.00,1,1,1,3.909488903,1,0,0,0,0,1,0,2,1,1,1,1,0,1,0,1,0,0,0,6.48,97
191,500.00,0,19,1,2.737913462,0,0,1,0,1,0,0,16,2.5,4,1,1,0,0,0,1,0,0,0,1.32,80
192,20.00,1,3,1,17.16287347,0,1,0,0,0,1,0,3,1,1,1,1,1,1,0,0,0,0,0,10.56,95
193,28.00,1,1,1,1.427894944,1,0,0,0,0,1,0,3,1,1,1,1,0,1,1,0,1,0,0,35.88,90
194,36.00,0,10,1,1.811728263,1,0,0,0,0,1,0,1,2,1,1,1,0,1,1,1,0,0,0,10.2,88
195,30.00,1,2,1,2.271966167,0,0,1,0,0,1,0,2,1,1,1,1,0,1,0,1,1,0,0,23.28,96
196,85.00,0,10,0,0.95670178,1,0,0,0,1,0,0,8,2,2,1,1,0,0,0,1,0,0,0,14.16,86
197,22.00,0,9,1,5.111862384,0,0,1,0,0,1,0,3,1,1,1,1,0,0,1,1,0,0,0,8.76,94
198,35.00,1,2,1,4.116037168,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,6.24,92
199,45.00,1,2,1,4.312534013,1,0,0,0,0,1,0,2,1,1,1,1,0,1,0,1,0,0,0,9.24,89
200,55.00,0,1,1,3.491681265,1,0,0,0,1,0,0,3,1,1,1,1,0,1,0,1,0,0,0,4.2,88
